Id,Label,timeset,abundance,type,class,gene,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,pageranks,clustering,triangles,eigencentrality
171,Stx2-converting phage 86,,0,Phage,Podoviridae,Stx2-converting phage 86,107,81.570376,6,0.461538,0.684091,901.613408,0.095307,0.095307,49,2,0.006434,0.921707,5227,0.976012
172,Punavirus_u_s,,16.84,Phage,Myoviridae,Punavirus_u_s,7,5.075555,7,0.320388,0.396934,113.25,0.001569,0.001569,49,2,0.002678,0.714286,15,0.016717
173,Candidatus Phytoplasma,,0,Taxa,Acholeplasmataceae,Candidatus Phytoplasma,5,3.446457,8,0.246575,0.273791,90.363881,0,0,87,2,0.003773,0.5,5,0.000629
174,Succiniclasticum,,0,Taxa,Acidaminococcaceae,Succiniclasticum,0,0,0,0,0,0,0,0,52,50,0.000704,0,0,0
175,Acidithiobacillus,,13.96,Taxa,Acidithiobacillaceae,Acidithiobacillus,4,2.731989,7,0.33,0.39525,98.958252,0.000937,0.000937,24,2,0.002537,0.5,3,0.00992
176,Actinobacteria_u_g,,7.37,Taxa,Actinobacteria_u_f,Actinobacteria_u_g,0,0,0,0,0,0,0,0,53,51,0.000704,0,0,0
177,Thermobispora,,32.85,Taxa,Actinobacteria_u_f,Thermobispora,0,0,0,0,0,0,0,0,54,52,0.000704,0,0,0
178,Taylorella,,0,Taxa,Alcaligenaceae,Taylorella,0,0,0,0,0,0,0,0,55,53,0.000704,0,0,0
179,Alphaproteobacteria_u_g,,70.8,Taxa,Alphaproteobacteria_u_f,Alphaproteobacteria_u_g,4,2.332413,6,0.304147,0.331987,319.635306,0.000062,0.000062,87,2,0.003061,0.333333,2,0.001127
180,Anaeromyxobacter,,5.41,Taxa,Anaeromyxobacteraceae,Anaeromyxobacter,0,0,0,0,0,0,0,0,56,54,0.000704,0,0,0
181,Atopobium,,31.64,Taxa,Atopobiaceae,Atopobium,6,4.471021,7,0.315789,0.391787,283.145551,0.000858,0.000858,24,2,0.00307,0.666667,10,0.009421
182,Olsenella,,393.95,Taxa,Atopobiaceae,Olsenella,5,2.886263,7,0.25,0.27892,27.291064,0,0,87,2,0.003258,0.7,7,0.000732
183,Bacillus,,1544.84,Taxa,Bacillaceae,Bacillus,10,5.471675,6,0.370787,0.435269,348.745074,0.005508,0.005508,87,2,0.002475,0.444444,20,0.057021
184,Geobacillus,,9.54,Taxa,Bacillaceae,Geobacillus,0,0,0,0,0,0,0,0,57,55,0.000704,0,0,0
185,Gemella,,1.23,Taxa,Bacillales_u_f,Gemella,0,0,0,0,0,0,0,0,58,56,0.000704,0,0,0
186,Bacteroidales_u_g,,21869.71,Taxa,Bacteroidales_u_f,Bacteroidales_u_g,2,1.338374,8,0.204757,0.225824,7.467419,0,0,87,2,0.002055,0,0,0.000244
187,Brachyspira,,1.45,Taxa,Brachyspiraceae,Brachyspira,0,0,0,0,0,0,0,0,59,57,0.000704,0,0,0
188,Ochrobactrum,,5.58,Taxa,Brucellaceae,Ochrobactrum,5,4.125907,7,0.313788,0.387157,235.735959,0.00085,0.00085,24,2,0.002582,0.9,9,0.009233
189,Campylobacter,,1.64,Taxa,Campylobacteraceae,Campylobacter,85,47.511238,6,0.404082,0.609343,0,0.079069,0.079069,38,2,0.004331,1,3570,0.80925
190,Candidatus Paracaedibacteraceae_u_g,,0,Taxa,Candidatus Paracaedibacteraceae,Candidatus Paracaedibacteraceae_u_g,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
191,Cardiobacterium,,3.85,Taxa,Cardiobacteriaceae,Cardiobacterium,11,8.149335,6,0.409091,0.458249,498.618046,0.000933,0.000933,87,2,0.004848,0.672727,37,0.01111
192,Catabacter,,3219.59,Taxa,Catabacteriaceae,Catabacter,8,4.795915,7,0.310345,0.347102,303.342913,0.000045,0.000045,87,2,0.004087,0.607143,17,0.001681
193,Alkaliphilus,,17.55,Taxa,Clostridiaceae,Alkaliphilus,0,0,0,0,0,0,0,0,60,58,0.000704,0,0,0
194,Butyricicoccus,,301.41,Taxa,Clostridiaceae,Butyricicoccus,10,6.305858,6,0.404082,0.452357,306.168011,0.000933,0.000933,87,2,0.004378,0.755556,34,0.01097
195,Caloramator,,17.78,Taxa,Clostridiaceae,Caloramator,3,1.509173,8,0.243542,0.280682,0,0.000045,0.000045,49,2,0.00168,1,3,0.000826
196,Clostridiales Family XIII. Incertae Sedis_u_g,,5234.04,Taxa,Clostridiales Family XIII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis_u_g,7,3.818697,7,0.258149,0.295924,294.480097,0,0,87,2,0.004406,0.190476,4,0.000955
197,Mogibacterium,,42.45,Taxa,Clostridiales Family XIII. Incertae Sedis,Mogibacterium,0,0,0,0,0,0,0,0,61,59,0.000704,0,0,0
198,Thermaerobacter,,6.24,Taxa,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,0,0,0,0,0,0,0,0,62,60,0.000704,0,0,0
199,Collinsella,,277.44,Taxa,Coriobacteriaceae,Collinsella,9,5.948095,6,0.306028,0.344192,3.466667,0.000049,0.000049,87,2,0.003867,0.861111,31,0.001986
200,Corynebacterium,,1635.92,Taxa,Corynebacteriaceae,Corynebacterium,5,2.989555,6,0.264352,0.293266,641.788679,0,0,24,2,0.003762,0.4,4,0.000675
201,Cytophaga,,1.08,Taxa,Cytophagaceae,Cytophaga,4,2.780318,7,0.203285,0.224459,197,0,0,24,2,0.004515,0.5,3,0.000477
202,Runella,,0,Taxa,Cytophagaceae,Runella,0,0,0,0,0,0,0,0,63,61,0.000704,0,0,0
203,Deinococcus-Thermus_u_g,,2.83,Taxa,Deinococcus-Thermus_u_f,Deinococcus-Thermus_u_g,7,5.564711,8,0.23432,0.269402,70.739804,0,0,24,2,0.00473,0.809524,17,0.000951
204,Desulfobulbus,,2.82,Taxa,Desulfobulbaceae,Desulfobulbus,0,0,0,0,0,0,0,0,64,62,0.000704,0,0,0
205,Desulfomicrobium,,8.2,Taxa,Desulfomicrobiaceae,Desulfomicrobium,0,0,0,0,0,0,0,0,65,63,0.000704,0,0,0
206,Hippea,,0,Taxa,Desulfurellaceae,Hippea,0,0,0,0,0,0,0,0,66,64,0.000704,0,0,0
207,Slackia,,34.76,Taxa,Eggerthellaceae,Slackia,16,11.107189,5,0.408247,0.470791,535.825567,0.001,0.001,87,2,0.006072,0.491667,59,0.012584
208,Escherichia,,586.25,Taxa,Enterobacteriaceae,Escherichia,104,95.67349,6,0.471429,0.68266,5.622849,0.096334,0.096334,38,2,0.005205,0.996826,5339,0.986068
209,Leclercia,,0,Taxa,Enterobacteriaceae,Leclercia,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
210,Salmonella,,0,Taxa,Enterobacteriaceae,Salmonella,0,0,0,0,0,0,0,0,67,65,0.000704,0,0,0
211,Shigella,,59.85,Taxa,Enterobacteriaceae,Shigella,106,100.627483,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
212,Erysipelotrichaceae_u_g,,2396.94,Taxa,Erysipelotrichaceae,Erysipelotrichaceae_u_g,8,5.553982,5,0.33,0.360438,784.838068,0.000046,0.000046,87,2,0.004034,0.678571,19,0.001699
213,Kandleria,,2.07,Taxa,Erysipelotrichaceae,Kandleria,10,6.827707,7,0.268293,0.316306,920.19793,0.000033,0.000033,24,2,0.00592,0.466667,21,0.0016
214,Turicibacter,,723.3,Taxa,Erysipelotrichaceae,Turicibacter,9,5.905582,6,0.261559,0.300673,309.957501,0,0,87,2,0.005407,0.527778,19,0.001245
215,Ferrimonas,,0,Taxa,Ferrimonadaceae,Ferrimonas,0,0,0,0,0,0,0,0,68,66,0.000704,0,0,0
216,Firmicutes_u_g,,884.03,Taxa,Firmicutes_u_f,Firmicutes_u_g,6,4.515765,7,0.319871,0.394408,48.25,0.001569,0.001569,49,2,0.002213,0.866667,13,0.016606
217,Imtechella,,221.27,Taxa,Flavobacteriaceae,Imtechella,73,38.725441,7,0.370093,0.570334,246.04647,0.064326,0.064326,49,2,0.004936,0.896499,2356,0.658841
218,Flavobacteriales_u_g,,0,Taxa,Flavobacteriales_u_f,Flavobacteriales_u_g,0,0,0,0,0,0,0,0,69,67,0.000704,0,0,0
219,Cetobacterium,,1.46,Taxa,Fusobacteriaceae,Cetobacterium,5,2.931872,6,0.306028,0.339562,584.700132,0.000062,0.000062,87,2,0.003579,0.2,2,0.001288
220,Glycomyces,,0,Taxa,Glycomycetaceae,Glycomyces,0,0,0,0,0,0,0,0,70,68,0.000704,0,0,0
221,Gordonia,,29.55,Taxa,Gordoniaceae,Gordonia,8,5.184031,6,0.37931,0.43771,307.891186,0.000978,0.000978,87,2,0.0033,0.428571,12,0.011064
222,Halorubrum,,0,Taxa,Halorubraceae,Halorubrum,6,4.81448,8,0.226804,0.257834,0,0,0,24,2,0.004091,1,15,0.000818
223,Holophagaceae_u_g,,8.96,Taxa,Holophagaceae,Holophagaceae_u_g,6,3.538277,6,0.256477,0.285859,81.99772,0.000001,0.000001,87,2,0.004787,0.266667,4,0.00073
224,Holospora,,50.22,Taxa,Holosporaceae,Holospora,0,0,0,0,0,0,0,0,71,69,0.000704,0,0,0
225,Hungateiclostridiaceae_u_g,,0,Taxa,Hungateiclostridiaceae,Hungateiclostridiaceae_u_g,16,11.107189,5,0.408247,0.470791,535.825567,0.001,0.001,87,2,0.006072,0.491667,59,0.012584
226,Coprococcus,,7.44,Taxa,Lachnospiraceae,Coprococcus,13,7.849265,6,0.333895,0.377946,275.554876,0.000084,0.000084,87,2,0.005493,0.435897,34,0.002929
227,Dorea,,0,Taxa,Lachnospiraceae,Dorea,6,4.350156,8,0.226804,0.257834,0,0,0,24,2,0.004091,1,15,0.000818
228,Lachnobacterium,,28.96,Taxa,Lachnospiraceae,Lachnobacterium,10,6.094009,6,0.328358,0.369697,866.017343,0.000048,0.000048,87,2,0.004704,0.4,18,0.002092
229,Lachnoclostridium,,1138.58,Taxa,Lachnospiraceae,Lachnoclostridium,7,4.78473,7,0.260526,0.297354,71.884877,0.000001,0.000001,87,2,0.004481,0.52381,11,0.000966
230,Lachnospira,,1700.47,Taxa,Lachnospiraceae,Lachnospira,10,5.673181,7,0.313291,0.354509,379.045966,0.000019,0.000019,87,2,0.006078,0.244444,11,0.001524
231,Pseudobutyrivibrio,,249.33,Taxa,Lachnospiraceae,Pseudobutyrivibrio,7,4.459677,7,0.262599,0.300132,93.021617,0.000001,0.000001,87,2,0.004392,0.428571,9,0.000988
232,Roseburia,,27.63,Taxa,Lachnospiraceae,Roseburia,6,3.651176,6,0.270492,0.303535,448.109881,0.000001,0.000001,87,2,0.003567,0.266667,4,0.00088
233,Shuttleworthia,,14.13,Taxa,Lachnospiraceae,Shuttleworthia,0,0,0,0,0,0,0,0,72,70,0.000704,0,0,0
234,Tyzzerella,,38.8,Taxa,Lachnospiraceae,Tyzzerella,8,4.826661,6,0.318841,0.353872,103.827219,0.000048,0.000048,87,2,0.003579,0.75,21,0.001816
235,Methanosarcina,,14.98,Taxa,Methanosarcinaceae,Methanosarcina,0,0,0,0,0,0,0,0,73,71,0.000704,0,0,0
236,Methylobacterium,,3.19,Taxa,Methylobacteriaceae,Methylobacterium,12,7.911801,6,0.406571,0.458838,897.862689,0.000933,0.000933,87,2,0.005635,0.530303,35,0.011189
237,Microvirga,,6.54,Taxa,Methylobacteriaceae,Microvirga,0,0,0,0,0,0,0,0,74,72,0.000704,0,0,0
238,Clavibacter,,4.64,Taxa,Microbacteriaceae,Clavibacter,0,0,0,0,0,0,0,0,75,73,0.000704,0,0,0
239,Microbacterium,,49.7,Taxa,Microbacteriaceae,Microbacterium,9,5.37801,6,0.315789,0.355303,56.885594,0.000119,0.000119,87,2,0.003807,0.555556,20,0.002584
240,Kocuria,,162.46,Taxa,Micrococcaceae,Kocuria,5,2.824627,7,0.217582,0.250349,9.170539,0,0,87,2,0.003359,0.7,7,0.000711
241,Micrococcaceae_u_g,,23.77,Taxa,Micrococcaceae,Micrococcaceae_u_g,1,0.527116,7,0.235995,0.251383,0,0.000001,0.000001,87,2,0.001146,0,0,0.000143
242,Micromonospora,,9.42,Taxa,Micromonosporaceae,Micromonospora,10,6.339851,7,0.251588,0.291546,239.630678,0,0,87,2,0.006258,0.466667,21,0.001325
243,Ureaplasma,,13.17,Taxa,Mycoplasmataceae,Ureaplasma,1,0.571002,8,0.199195,0.212392,0,0,0,87,2,0.001516,0,0,0.000121
244,Myxococcaceae_u_g,,0,Taxa,Myxococcaceae,Myxococcaceae_u_g,5,3.6332,7,0.253521,0.281866,17.097617,0.000001,0.000001,87,2,0.003395,0.7,7,0.000691
245,Nitrospiraceae_u_g,,2.22,Taxa,Nitrospiraceae,Nitrospiraceae_u_g,0,0,0,0,0,0,0,0,76,74,0.000704,0,0,0
246,Thermobifida,,1134.12,Taxa,Nocardiopsaceae,Thermobifida,11,7.262098,6,0.315789,0.35766,31.94337,0.000111,0.000111,87,2,0.004374,0.672727,37,0.002869
247,Opitutales_u_g,,0,Taxa,Opitutales_u_f,Opitutales_u_g,0,0,0,0,0,0,0,0,77,75,0.000704,0,0,0
248,Saccharibacillus,,2.63,Taxa,Paenibacillaceae,Saccharibacillus,0,0,0,0,0,0,0,0,78,76,0.000704,0,0,0
249,Gallibacterium,,0,Taxa,Pasteurellaceae,Gallibacterium,0,0,0,0,0,0,0,0,79,77,0.000704,0,0,0
250,Desulfotomaculum,,6.98,Taxa,Peptococcaceae,Desulfotomaculum,7,4.776632,7,0.213823,0.248208,8.695635,0,0,87,2,0.00449,0.761905,16,0.000965
251,Peptococcaceae_u_g,,22.64,Taxa,Peptococcaceae,Peptococcaceae_u_g,9,5.681463,7,0.319355,0.357961,267.971511,0.000046,0.000046,87,2,0.004634,0.555556,20,0.001828
252,Anaerococcus,,0,Taxa,Peptoniphilaceae,Anaerococcus,0,0,0,0,0,0,0,0,80,78,0.000704,0,0,0
253,Helcococcus,,40.49,Taxa,Peptoniphilaceae,Helcococcus,6,4.166226,6,0.249685,0.27601,843.913334,0.000001,0.000001,24,2,0.005597,0.466667,7,0.000722
254,Parvimonas,,28.02,Taxa,Peptoniphilaceae,Parvimonas,4,2.344895,7,0.306502,0.37963,38.483333,0.000851,0.000851,24,2,0.002278,0.333333,2,0.009083
255,Intestinibacter,,8.1,Taxa,Peptostreptococcaceae,Intestinibacter,9,5.737984,6,0.265416,0.306061,294.577476,0,0,87,2,0.005374,0.472222,17,0.001255
256,Paeniclostridium,,62.95,Taxa,Peptostreptococcaceae,Paeniclostridium,10,5.98054,6,0.317308,0.354798,152.252494,0.000049,0.000049,87,2,0.004311,0.755556,34,0.002116
257,Peptostreptococcaceae_u_g,,181.46,Taxa,Peptostreptococcaceae,Peptostreptococcaceae_u_g,9,6.23276,7,0.218543,0.26045,26.973019,0,0,87,2,0.005597,0.611111,22,0.001213
258,Peptostreptococcus,,13.86,Taxa,Peptostreptococcaceae,Peptostreptococcus,11,8.0723,6,0.320908,0.363047,23.925824,0.00005,0.00005,87,2,0.004578,0.781818,43,0.002322
259,Aminobacter,,8.02,Taxa,Phyllobacteriaceae,Aminobacter,0,0,0,0,0,0,0,0,81,79,0.000704,0,0,0
260,Phyllobacteriaceae_u_g,,0,Taxa,Phyllobacteriaceae,Phyllobacteriaceae_u_g,0,0,0,0,0,0,0,0,82,80,0.000704,0,0,0
261,Ureibacillus,,40.31,Taxa,Planococcaceae,Ureibacillus,0,0,0,0,0,0,0,0,83,81,0.000704,0,0,0
262,Porphyromonas,,344.35,Taxa,Porphyromonadaceae,Porphyromonas,3,1.771812,8,0.290749,0.31933,69.136721,0.000009,0.000009,87,2,0.002384,0.666667,2,0.000485
263,Acidipropionibacterium,,18.56,Taxa,Propionibacteriaceae,Acidipropionibacterium,0,0,0,0,0,0,0,0,84,82,0.000704,0,0,0
264,Cutibacterium,,0,Taxa,Propionibacteriaceae,Cutibacterium,2,1.20418,8,0.243243,0.265374,0,0,0,87,2,0.001709,1,1,0.000295
265,Propionibacteriaceae_u_g,,0,Taxa,Propionibacteriaceae,Propionibacteriaceae_u_g,0,0,0,0,0,0,0,0,85,83,0.000704,0,0,0
266,Pseudonocardia,,1.05,Taxa,Pseudonocardiaceae,Pseudonocardia,0,0,0,0,0,0,0,0,86,84,0.000704,0,0,0
267,Saccharomonospora,,527.74,Taxa,Pseudonocardiaceae,Saccharomonospora,6,4.299084,8,0.226804,0.257834,0,0,0,24,2,0.004091,1,15,0.000818
268,Saccharopolyspora,,475.7,Taxa,Pseudonocardiaceae,Saccharopolyspora,8,6.089913,7,0.245963,0.281794,249.952906,0,0,24,2,0.005374,0.642857,18,0.001069
269,Halocynthiibacter,,3.3,Taxa,Rhodobacteraceae,Halocynthiibacter,7,5.075555,7,0.320388,0.396934,113.25,0.001569,0.001569,49,2,0.002678,0.714286,15,0.016717
270,Thalassospira,,1.84,Taxa,Rhodospirillaceae,Thalassospira,11,8.149335,6,0.409091,0.458249,498.618046,0.000933,0.000933,87,2,0.004848,0.672727,37,0.01111
271,Rickettsiales_u_g,,3.98,Taxa,Rickettsiales_u_f,Rickettsiales_u_g,2,1.144401,8,0.248744,0.279419,0,0.000018,0.000018,24,2,0.001783,1,1,0.000402
272,Rikenellaceae_u_g,,0,Taxa,Rikenellaceae,Rikenellaceae_u_g,0,0,0,0,0,0,0,0,88,85,0.000704,0,0,0
273,Anaerotruncus,,2.49,Taxa,Ruminococcaceae,Anaerotruncus,0,0,0,0,0,0,0,0,89,86,0.000704,0,0,0
274,Ethanoligenens,,0,Taxa,Ruminococcaceae,Ethanoligenens,0,0,0,0,0,0,0,0,90,87,0.000704,0,0,0
275,Megamonas,,15.69,Taxa,Selenomonadaceae,Megamonas,13,7.1483,5,0.404082,0.460774,2180.35316,0.006461,0.006461,87,2,0.003972,0.371795,29,0.067087
276,Selenomonadaceae_u_g,,0,Taxa,Selenomonadaceae,Selenomonadaceae_u_g,5,4.125907,7,0.313788,0.387157,235.735959,0.00085,0.00085,24,2,0.002582,0.9,9,0.009233
277,Shewanella,,0,Taxa,Shewanellaceae,Shewanella,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
278,Sphaerobacteraceae_u_g,,2.66,Taxa,Sphaerobacteraceae,Sphaerobacteraceae_u_g,0,0,0,0,0,0,0,0,91,88,0.000704,0,0,0
279,Sphingobacteriaceae_u_g,,0,Taxa,Sphingobacteriaceae,Sphingobacteriaceae_u_g,0,0,0,0,0,0,0,0,92,89,0.000704,0,0,0
280,Treponema,,147.28,Taxa,Spirochaetaceae,Treponema,2,1.042857,6,0.301829,0.323906,951.391454,0.000062,0.000062,24,2,0.001758,0,0,0.000883
281,Sporolactobacillus,,1.74,Taxa,Sporolactobacillaceae,Sporolactobacillus,0,0,0,0,0,0,0,0,93,90,0.000704,0,0,0
282,Pelosinus,,113.56,Taxa,Sporomusaceae,Pelosinus,5,3.353,8,0.208202,0.239184,10.382226,0,0,87,2,0.003402,0.7,7,0.000694
283,Staphylococcus,,10.02,Taxa,Staphylococcaceae,Staphylococcus,0,0,0,0,0,0,0,0,94,91,0.000704,0,0,0
284,Succinatimonas,,0,Taxa,Succinivibrionaceae,Succinatimonas,11,7.855663,6,0.312796,0.355808,113.42432,0.000051,0.000051,87,2,0.004829,0.654545,36,0.002263
285,Succinivibrio,,78.82,Taxa,Succinivibrionaceae,Succinivibrio,11,8.040833,6,0.320908,0.363047,23.925824,0.00005,0.00005,87,2,0.004578,0.781818,43,0.002322
286,Laceyella,,6.38,Taxa,Thermoactinomycetaceae,Laceyella,0,0,0,0,0,0,0,0,95,92,0.000704,0,0,0
287,Thermoactinomyces,,5149.77,Taxa,Thermoactinomycetaceae,Thermoactinomyces,7,3.979152,6,0.308411,0.343687,201.886415,0.000074,0.000074,87,2,0.003634,0.47619,10,0.001798
288,Thermoanaerobacterales_u_g,,37.61,Taxa,Thermoanaerobacterales_u_f,Thermoanaerobacterales_u_g,1,0.80185,8,0.169086,0.180219,0,0,0,24,2,0.001665,0,0,0.000116
289,Megasphaera,,35.02,Taxa,Veillonellaceae,Megasphaera,12,8.02184,6,0.319355,0.360185,384.858072,0.000046,0.000046,87,2,0.006079,0.5,33,0.002217
290,Veillonellaceae_u_g,,0,Taxa,Veillonellaceae,Veillonellaceae_u_g,8,5.165822,7,0.224236,0.263528,294.093582,0,0,24,2,0.005965,0.357143,10,0.001026
291,Pseudoxanthomonas,,3.94,Taxa,Xanthomonadaceae,Pseudoxanthomonas,104,67.004668,6,0.472554,0.684343,1014.311933,0.093815,0.093815,38,2,0.00606,0.944175,5057,0.960597
292,Xylella,,0,Taxa,Xanthomonadaceae,Xylella,0,0,0,0,0,0,0,0,96,93,0.000704,0,0,0
293,Yersinia,,0,Taxa,Yersiniaceae,Yersinia,0,0,0,0,0,0,0,0,97,94,0.000704,0,0,0
